sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",
He hid his love from her.,OBJECT,"CONTAINMENT, COVERING, OBJECT",He hid the gift behind his back.,,,
She gave him a push.,OBJECT,"FORCE, CONTACT, SOURCE_PATH_GOAL",She physically pushed him with her hands.,,,
He gave me a vicious kick.,OBJECT,"FORCE, CONTACT, SOURCE_PATH_GOAL",He struck my body with his foot forcefully.,,,
A large force is needed to move a heavy object.,OBJECT,"FORCE, OBJECT, SOURCE_PATH_GOAL, SCALE",A strong push is required to slide a massive boulder.,,,
The rebels wrested control of the capital city from the ruling party in a bloody coup.,OBJECT,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",The wrestler took the ball from his opponent in a physical match.,,,
We need to strengthen our civil liberties.,OBJECT,"FORCE, OBJECT, SCALE",We need to strengthen the support beams of the building.,,,
The government must shore up support for our religious freedoms.,OBJECT,"SUPPORT, FORCE, VERTICALITY, SCALE",The workers must shore up the foundation of the building.,,,
"This is what happens when science serves up facts more indigestible than evolution. We end up with a society where the masses live in outright ignorance and denial, while the dominant institutions, thanks to market and political expediency, continually reorganize themselves around actionable intelligence as it comes in.",OBJECT,"CONTAINMENT, SUBSTANCE, VERTICALITY, CENTER-PERIPHERY, FORCE, SCALE","This is what happens when a restaurant serves food more difficult to eat than usual. We end up with a dining room where some people refuse to eat, while the staff, due to customer preferences, continually rearrange the tables around the most popular dishes as they are brought out.",,,
Food for thought must be appetizing. Chemistry students usually can write acceptable exposition if they know good writing is expected,OBJECT,"SUBSTANCE, CONTAINMENT, SCALE",Nutritious meals must be tasty. Chemistry students usually can produce clear reports if they understand high-quality documentation is required,,,
They're just half-baked ideas.,OBJECT,"SUBSTANCE, CONTAINMENT, SCALE",The bread is only partially baked in the oven.,,,
Just give me the raw facts.,OBJECT,"SUBSTANCE, OBJECT, CONTAINMENT",Just hand me the unprocessed materials.,,,
I need to put this on the back burner for a while.,OBJECT,"CONTAINMENT, SOURCE_PATH_GOAL, SUPPORT, SCALE",I need to place this pot on the rear stove burner temporarily.,,,
I haven't fully digested the main gist of that paper.,OBJECT,"CONTAINMENT, SUBSTANCE, OBJECT, PART-WHOLE",I haven't fully processed the main content of that food.,,,
He has an appetite for learning.,OBJECT,"CONTAINMENT, SUBSTANCE, FORCE",He has an appetite for food.,,,
He has an insatiable curiosity.,OBJECT,"CONTAINMENT, SUBSTANCE, OBJECT",The container has an endless supply of water.,,,
She's the kind of person you always need to sugar-coat it for to get her to do anything.,OBJECT,"COVERING, SUBSTANCE, FORCE, SOURCE_PATH_GOAL",She's the kind of person you always need to explain things gently to motivate her to take action.,,,
"Incurable sex offenders, lousy judges and the new media: Moral panic sustenance in the age of new media",OBJECT,"CONTAINMENT, SUBSTANCE, SUPPORT, SCALE",The food container holds nourishing ingredients in the modern kitchen,,,
The very thought of it makes me sick.,OBJECT,"FORCE, SOURCE_PATH_GOAL, SUBSTANCE",The spoiled food makes me nauseous.,,,
That's bullshit!,OBJECT,"SUBSTANCE, OBJECT",That's animal excrement!,,,
You'd need an electron microscope to find the point of this essay.,OBJECT,"SCALE, OBJECT, SOURCE_PATH_GOAL",You'd need a magnifying glass to find the small object on the table.,,,
The theory of relativity gave birth to an enormous number of ideas in physics.,OBJECT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT, SCALE",The scientific research produced many new concepts in physics.,,,
He is the father of modern biology.,OBJECT,"SOURCE_PATH_GOAL, LINK, PART-WHOLE",He is the founder of a new scientific field.,,,
Whose brainchild was that?,OBJECT,"PART-WHOLE, SOURCE_PATH_GOAL, OBJECT",Whose invention was that?,,,
Look at what his ideas have spawned.,OBJECT,"SOURCE_PATH_GOAL, OBJECT, FORCE",Look at what the fish eggs have hatched.,,,
Those ideas died off in the Middle Ages.,OBJECT,"SUBSTANCE, SOURCE_PATH_GOAL, CONTAINMENT",Those plants died off in the dry season.,,,
His ideas will live on forever.,OBJECT,"SUBSTANCE, CONTAINMENT, SCALE",The plant will grow indefinitely.,,,
Cognitive psychology is still in its infancy.,OBJECT,"CONTAINMENT, SCALE, SOURCE_PATH_GOAL",The newborn baby is still in its crib.,,,
That's an idea that ought to be resurrected.,OBJECT,"VERTICALITY, FORCE, OBJECT",That's a plant that ought to be revived.,,,
He breathed new life into that idea.,OBJECT,"CONTAINMENT, FORCE, SUBSTANCE",He pumped air into the balloon.,,,
I have an idea.,OBJECT,"CONTAINMENT, OBJECT, POSSESSION",I hold a ball.,,,
She gave me a good idea.,OBJECT,"SOURCE_PATH_GOAL, OBJECT, FORCE",She handed me a useful tool.,,,
Keep your opinion to yourself!,OBJECT,"CONTAINMENT, OBJECT, FORCE",Keep the toy inside the box!,,,
This gives me a great idea!,OBJECT,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",This book gives me useful information.,,,
I got a much better idea of what was going on after the last meeting.,OBJECT,"CONTAINMENT, SCALE, SOURCE_PATH_GOAL",I obtained a clearer view of the landscape after climbing to a higher vantage point.,,,
"She had acquired an intimate knowledge of the terrain, which now helped her to travel quickly.",OBJECT,"CONTAINMENT, OBJECT, SOURCE_PATH_GOAL, SCALE","She had memorized a detailed map of the area, which now helped her to navigate efficiently.",,,
Her experience gave her a great deal of knowledge.,OBJECT,"CONTAINMENT, SUBSTANCE, FORCE, SOURCE_PATH_GOAL",The container filled with liquid.,,,
Hold on to your beliefs and never let them go.,OBJECT,"CONTACT, FORCE, OBJECT, CONTAINMENT",Hold on to the rope and never let it go.,,,
Shatter the rules of the market economy,OBJECT,"SPLITTING, OBJECT, CONTAINMENT, FORCE",Break the glass vase on the table,,,
How to Build A Law,OBJECT,"OBJECT, FORCE, CONTAINMENT, PART-WHOLE",How to Build A House,,,
dismantle gun laws,OBJECT,"SPLITTING, OBJECT, PART-WHOLE",dismantle a mechanical device,,,
Out of these discussions will grow legislation of farreaching importance.,OBJECT,"SOURCE_PATH_GOAL, SUBSTANCE, SCALE, VERTICALITY",From the soil will grow a plant of significant height.,,,
"In a democratic government, authority is given to it by the people.",OBJECT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE, OBJECT","In a warehouse, packages are delivered to it by the trucks.",,,
"If you soak it in water, the wood will lose its rigidity.",OBJECT,"CONTAINMENT, SUBSTANCE, FORCE, SCALE","If you submerge the sponge in water, it will become softer.",,,
"Congress is producing little this election year that will become law, yet both parties are churning out bills designed to make the other side look bad.",OBJECT,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE, OBJECT, FORCE","The factory is producing few products this year, yet both assembly lines are churning out items designed to outperform the competitor's goods.",,,
The president drove the nation into a ditch.,OBJECT,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE, OBJECT",The driver steered the car into a ditch.,,,
Obama on GOP: 'They Drove The Country Into A Ditch...Now They Want The Keys Back',OBJECT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT, FORCE",The driver steered the car into a ditch and now wants to regain control of the vehicle.,,,
Where was he when he drove our country off a cliff?,OBJECT,"SOURCE_PATH_GOAL, VERTICALITY, FORCE, OBJECT",Where was he when he drove the car off the road?,,,
The president is steering the country into unknown waters.,OBJECT,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT, OBJECT",The captain is steering the ship into unexplored seas.,,,
Scuttling the Ship of State to appease climate activists.,OBJECT,"OBJECT, FORCE, CONTAINMENT, SOURCE_PATH_GOAL",Sinking a real ship to satisfy a group of people.,,,
Our country is burdened by debt and that may sink us in the rough waters ahead.,OBJECT,"FORCE, VERTICALITY, CONTAINMENT, SOURCE_PATH_GOAL",The boat is weighed down by cargo and may sink in the stormy sea ahead.,,,
Within a federalist framework the nation is a body in crisis threatened from within by one of its own. It is about to be dismembered.,OBJECT,"CONTAINMENT, OBJECT, PART-WHOLE, FORCE, SPLITTING","Within a human body, an organ is failing due to an internal infection. It may need to be surgically removed.",,,
"Iowa is the heart of the nation, where everyone greets you with a smile and you wave at strangers!",OBJECT,"CENTER-PERIPHERY, CONTAINMENT, PART-WHOLE, LINK","Iowa is centrally located in the country, where people commonly smile at newcomers and gesture friendly greetings to unfamiliar individuals.",,,
Snitch Culture: How Citizens are Turned into the Eyes and Ears of the State,OBJECT,"PART-WHOLE, CONTAINMENT, FORCE, OBJECT",Surveillance cameras: How devices are installed as the visual and audio sensors of a building,,,
"This is a time to build a nation, brick by brick, pillar by pillar, not a time to tear down our brothers and sisters or pillage their property,",OBJECT,"PART-WHOLE, OBJECT, VERTICALITY, SUPPORT, FORCE, LINK","This is a time to construct a building, brick by brick, column by column, not a time to demolish structures or remove their materials,",,,
They represent the brick and mortar of our nation's developing infrastructure.,OBJECT,"SUBSTANCE, PART-WHOLE, SUPPORT, OBJECT",The bricks and mortar form the physical structure of the building.,,,
Our nation is built on the bedrock principle that governments derive their just powers from the consent of the governed.,OBJECT,"SUPPORT, SUBSTANCE, SOURCE_PATH_GOAL, FORCE",The house is built on a solid foundation that provides stability and strength to the entire structure.,,,
"The infrastructure that is the foundation of our nation is eroding, endangering the whole structure of our economy.",OBJECT,"SUPPORT, PART-WHOLE, SUBSTANCE, FORCE, CONTAINMENT","The concrete foundation of the building is crumbling, weakening the entire structure of the house.",,,
Infrastructure: The Foundation for Wealth and Poverty Reduction,OBJECT,"SUPPORT, SUBSTANCE, SCALE, SOURCE_PATH_GOAL",The concrete foundation supports the building's structure.,,,
Are They Parts of Our Nation? Tanzanian and Zambian University Students’ Attitude to the European and South Asian Minorities Compared,OBJECT,"PART-WHOLE, CONTAINMENT, SCALE",Are these components included in our country's population? A comparison of Tanzanian and Zambian university students' views on European and South Asian demographic groups,,,
No one built this country on their own. This nation is great because we built it together.,OBJECT,"PART-WHOLE, FORCE, OBJECT, SUPPORT, VERTICALITY",No one constructed this building alone. This structure is sturdy because we assembled it as a team.,,,
"If the President doesn't show some leadership, the country will grind to a halt.",OBJECT,"FORCE, SOURCE_PATH_GOAL, OBJECT","If the machine doesn't receive proper maintenance, the gears will grind to a stop.",,,
...and asked them to be serious towards bringing a full-fledged budget at the earliest to ensure that the country functions smoothly.,OBJECT,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT, SCALE",The manager asked the team to prioritize completing the detailed financial plan quickly to maintain efficient company operations.,,,
We must rouse our nation from its slumber.,OBJECT,"FORCE, CONTAINMENT, VERTICALITY, SOURCE_PATH_GOAL",We must wake the sleeping person from their bed.,,,
"Saltykov explored the psychological problems resulting from the shifting of a nation's gears, of creating a new way of life.",OBJECT,"OBJECT, FORCE, SOURCE_PATH_GOAL, PART-WHOLE","The mechanic examined the technical issues arising from changing the car's transmission, to improve its performance.",,,
Only one thing stands between Western civilization and chaos: the United States.,OBJECT,"SUPPORT, CONTAINMENT, OBJECT, CENTER-PERIPHERY",Only one wall stands between the living room and the kitchen: the partition.,,,
"... we must deepen our understanding of the economic value of nature and invest in the vital services that it provides for us, if we are to have a truly sustainable economic future.",OBJECT,"SCALE, CONTAINMENT, SUBSTANCE, SOURCE_PATH_GOAL, FORCE","We must increase our knowledge of the monetary worth of natural resources and allocate funds to the essential functions they perform, in order to maintain long-term financial stability.",,,
"To start with, everything we are made of and everything we make comes from the environment.",OBJECT,"SOURCE_PATH_GOAL, CONTAINMENT, SUBSTANCE, PART-WHOLE",All materials that compose our bodies and our products originate from natural resources.,,,
3rd #WinterWeatherAdvisory in 3 weeks. Think #MotherNature doesn't want an early spring :P,OBJECT,"CONTAINMENT, SCALE, FORCE, OBJECT",The third snowstorm occurs within three weeks. The current weather pattern suggests a prolonged winter season.,,,
"Dear #Mothernature , please don't tease us Texans with this awesome weather until you plan on staying this way. Thanks:)",OBJECT,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL, OBJECT","Dear weather system, please don't fluctuate between pleasant and unpleasant conditions in Texas until a stable pattern is established.",,,
"Nature Tries to Shift Outer Banks, But Man Keeps Shoveling It Back",OBJECT,"FORCE, SOURCE_PATH_GOAL, OBJECT, CONTAINMENT","Waves erode the beach, but workers continuously replenish the sand",,,
"Since the enactment of SB 163 (Evans), the three branches of state government have been working smoothly in the transition process called for in that landmark legislation.",OBJECT,"PART-WHOLE, LINK, SOURCE_PATH_GOAL, FORCE, OBJECT","Since the installation of the new machine, the three components of the system have been functioning efficiently in the operational process outlined in the instruction manual.",,,
The Lakers' defense fell apart in the final quarter leading to an embarrassing upset.,OBJECT,"SPLITTING, PART-WHOLE, SOURCE_PATH_GOAL, VERTICALITY",The building's structure collapsed in the last section causing a dangerous situation.,,,
Which part of the theory don't you agree with?,OBJECT,"PART-WHOLE, CONTAINMENT, OBJECT",Which section of the book don't you like?,,,
I admire the way this automated collection system is put together.,OBJECT,"PART-WHOLE, OBJECT, LINK, FORCE",I admire the way this machine is assembled.,,,
Bloom where you are planted.,OBJECT,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE, SUBSTANCE",Grow in the soil where you are placed.,,,
The young man is rather green and does not have enough experience to drive the large machinery.,OBJECT,"SCALE, SUBSTANCE, CONTAINMENT, OBJECT",The young plant is rather green and does not have enough growth to reach the top of the greenhouse.,,,
We saw the withered old woman.,OBJECT,"OBJECT, SCALE, SUBSTANCE",We saw the dried-up plant.,,,
Tips on how to cultivate openness to change.,OBJECT,"SUBSTANCE, SCALE, SOURCE_PATH_GOAL",Tips on how to grow plants in an open field.,,,
fledgling democracy,OBJECT,"OBJECT, SCALE, VERTICALITY",A young bird is growing,,,
democracy spreads its wings,OBJECT,"COVERING, OBJECT, SOURCE_PATH_GOAL, FORCE",The bird spreads its wings,,,
They are rocking the ship of state.,OBJECT,"FORCE, OBJECT, CONTAINMENT, SUPPORT",They are rocking the boat on the water.,,,
Dirt threatens to sink ship of state,OBJECT,"FORCE, SUBSTANCE, OBJECT, SOURCE_PATH_GOAL, VERTICALITY",Water threatens to sink the boat,,,
We are not free from the creeping vines of poverty.,OBJECT,"CONTAINMENT, FORCE, SUBSTANCE, SOURCE_PATH_GOAL",We are not free from the spreading weeds in the garden.,,,
Mother Martha is working to loosen the strangling weeds of poverty and watching children blossom and thrive under her care.,OBJECT,"FORCE, CONTAINMENT, VERTICALITY, SCALE, SUPPORT",The gardener is removing the choking vines from plants and observing seedlings grow taller in the well-tended soil.,,,
He holds all the power.,OBJECT,"CONTAINMENT, OBJECT, FORCE, SUBSTANCE",He holds all the tools.,,,
"I concede that it has become indispensable to prune legislation, but it seems to me that this must be done with prudence and thought.",OBJECT,"OBJECT, SUBSTANCE, FORCE, SPLITTING","I agree that it has become necessary to reduce the number of laws, but it seems to me that this must be done carefully and thoughtfully.",,,
It takes work to build any relationship.,OBJECT,"FORCE, OBJECT, SOURCE_PATH_GOAL",It takes materials to build a house.,,,
The relationship fell apart.,OBJECT,"SPLITTING, OBJECT, FORCE",The vase fell and broke into pieces.,,,
Our relationship is rock solid.,OBJECT,"SUBSTANCE, OBJECT, FORCE",The foundation of the building is rock solid.,,,
She has a fragile relationship with her mother as it is.,OBJECT,"OBJECT, LINK, FORCE",The glass vase is fragile and easily broken.,,,
Their relationship is built on a solid foundation of trust and commitment.,OBJECT,"SUPPORT, OBJECT, SUBSTANCE, VERTICALITY",The house is built on a solid foundation of concrete and steel.,,,
The coup toppled the brutal dictatorship.,OBJECT,"FORCE, VERTICALITY, SOURCE_PATH_GOAL",The strong wind toppled the old tree.,,,
The Revolutionary and Napoleonic Wars tore down the ancient structure of Europe,OBJECT,"FORCE, SPLITTING, OBJECT, VERTICALITY",The demolition crew tore down the old building in the city center,,,
His eyes scoured the horizon.,OBJECT,"SOURCE_PATH_GOAL, FORCE, CONTACT, OBJECT",The brush scoured the surface of the pan.,,,
I smell a rat.,OBJECT,"SUBSTANCE, OBJECT, SOURCE_PATH_GOAL",I detect an unpleasant odor.,,,
He's looking for meaning in his life and isn't finding any,OBJECT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",He's searching for a lost item in his house and can't locate it,,,
Cop scandals fray the social fabric.,OBJECT,"SUBSTANCE, SPLITTING, FORCE, PART-WHOLE",The rough use frays the cloth fabric.,,,
"Thus, we must reweave the torn fabric of rural American with thread strong enough to withstand the inevitable ravages of time.",OBJECT,"PART-WHOLE, SUBSTANCE, FORCE, CONTACT, LINK",We need to repair the damaged cloth with durable thread that can resist wear and tear.,,,
He's about to rock the foundations of the literary establishment with his novel.,OBJECT,"FORCE, SUPPORT, OBJECT, CONTAINMENT",The earthquake is about to shake the foundations of the building with its vibrations.,,,
"By early afternoon, queues were already building up.",OBJECT,"OBJECT, VERTICALITY, SOURCE_PATH_GOAL, SCALE","By early afternoon, stacks of boxes were already piling up.",,,
My business is growing like a weed.,OBJECT,"SCALE, SUBSTANCE, SOURCE_PATH_GOAL, FORCE",The plant is growing rapidly in the garden.,,,
"Functionalism interprets each part of society in terms of how it contributes to the stability of the whole society. Society is more than the sum of its parts; rather, ...",OBJECT,"PART-WHOLE, SUPPORT, CONTAINMENT, SCALE",The engine components work together to ensure the smooth operation of the entire machine. The machine's performance exceeds the individual capabilities of its parts.,,,
Our society is suffering from many social problems.,OBJECT,"CONTAINMENT, SUBSTANCE, FORCE",The body is suffering from many physical ailments.,,,
Pam Gulleson: “Social Security Isn’t Broken”,OBJECT,"OBJECT, FORCE, CONTAINMENT",The machine isn't malfunctioning.,,,
Hempsted Building Department is broken,OBJECT,"OBJECT, SPLITTING, FORCE",The glass vase is broken,,,
Opponents tried to dismantle the theory piece by piece.,OBJECT,"PART-WHOLE, OBJECT, SPLITTING, FORCE",The mechanic dismantled the engine part by part.,,,
This theory has a solid foundation.,OBJECT,"SUPPORT, OBJECT, SUBSTANCE",This building has a solid foundation.,,,
The theoretical framework needs to be filled in with empirical data.,OBJECT,"CONTAINMENT, SUBSTANCE, OBJECT",The empty container needs to be filled with liquid.,,,
Her theory requires the reader to understand many interconnected factors.,OBJECT,"LINK, PART-WHOLE, CONTAINMENT, OBJECT",The machine requires many interconnected parts to function properly.,,,
We spent all day at the fair.,OBJECT,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE",We stayed inside the fairgrounds from morning to evening.,,,
Time-theft,OBJECT,"SUBSTANCE, OBJECT",The thief stole the watch.,,,
"Despite the debt crisis, the welfare bureaucracy continued to hum along, producing checks every month.",OBJECT,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL, OBJECT","Despite the obstacle, the machine continued to operate, creating products regularly.",,,
Government steals the people's wealth through overt and hidden taxes,OBJECT,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE, OBJECT",The thief takes money from the safe through visible and concealed methods,,,
America Tax Slaves Work 6.5 Months Every Year to Pay for Government,OBJECT,"CONTAINMENT, FORCE, SCALE, SOURCE_PATH_GOAL",American workers spend half their annual income on taxes and government fees,,,
"The state cannot pay its bills and poorly educates its young, and its taxation punishes whatever success that its suffocating regulatory regime does not prevent.",OBJECT,"CONTAINMENT, FORCE, OBJECT, SUBSTANCE","The organization lacks funds for expenses and provides inadequate education, while its fees reduce profits that its strict rules don't already limit.",,,
High sales taxes hurt local small businesses.,OBJECT,"FORCE, SCALE, OBJECT",Heavy weights crush fragile objects.,,,
We are being taxed to death!,OBJECT,"SOURCE_PATH_GOAL, FORCE, SCALE",We are paying taxes until we have no money left.,,,
"According to the Tax Foundation, Texas residents on average shoulder the fifth lowest tax burden compared to other residents in the 50 states.",OBJECT,"SUPPORT, SCALE, CONTAINMENT, FORCE","According to the weight scale, the box on average holds the fifth lightest load compared to other boxes in the 50 containers.",,,
"The Obama campaign is taking a swipe at Mitt Romney's tax plan in a new television ad, saying it will create a ""heavy load"" for the middle class.",OBJECT,"FORCE, CONTACT, SUBSTANCE, VERTICALITY, SCALE","The boxer is taking a swing at his opponent in the ring, causing a heavy impact on his body.",,,
President Obama decided to target certain and specific products or services he deems unhealthy and levied heavy taxes on them.,OBJECT,"SOURCE_PATH_GOAL, FORCE, OBJECT, SCALE",The hunter aimed at specific animals and shot them with heavy arrows.,,,
Remember when President Obama literally laughed out loud at the idea his health-care plan would impose taxes on the middle class?,OBJECT,"FORCE, CONTAINMENT, SCALE, VERTICALITY",The man laughed loudly at the suggestion that the new policy would add costs to the average household.,,,
"The new president delivered on his tax cut promises, which, combined with a recession in 2001, caused the tax burden to fall considerably.",OBJECT,"SOURCE_PATH_GOAL, FORCE, SCALE, OBJECT","The delivery truck transported the packages to their destinations, which, combined with the road conditions, caused the vehicle's speed to decrease significantly.",,,
New Taxes Burdensome for Farm and Ranch Families,OBJECT,"FORCE, SUPPORT, SCALE",Heavy rocks are burdensome for hikers to carry,,,
The burdens of regulation on corporations hold down their profit margins.,OBJECT,"FORCE, VERTICALITY, CONTAINMENT, OBJECT",The heavy weights on the scale push down the measurement.,,,
Obama accused the Republicans of moving the goalposts in the debate about the deficit.,OBJECT,"SOURCE_PATH_GOAL, OBJECT, FORCE",The workers moved the goalposts to a different position on the football field.,,,
Could Texas be a battleground state?,OBJECT,"CONTAINMENT, FORCE, OBJECT",Could Texas be a contested area in an election?,,,
Women: We Want You on the Political Battlefield,OBJECT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE, OBJECT",Soldiers: We Want You on the Military Battlefield,,,
But Scott Brown’s win in the Massachusetts Senate race does raise a bigger question: is the system broken? I fear the answer is yes.,OBJECT,"VERTICALITY, SCALE, OBJECT, CONTAINMENT",The water level in the tank rises and reveals a larger crack: is the container damaged? I observe that it is leaking.,,,
The engine is dying; we need to repair it.,OBJECT,"OBJECT, FORCE, SUBSTANCE, PART-WHOLE",The machine is malfunctioning; we need to fix it.,,,
"Society’s great institutions are factories of ideas, regularly churning out new frameworks, insights, and understanding.",OBJECT,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE, OBJECT, FORCE","Large manufacturing plants are factories of products, regularly producing new items, components, and goods.",,,
"In this view, educational institutions are factories that take less productive workers as their raw materials, apply doses of training, and create more productive workers as outputs.",OBJECT,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE, FORCE, OBJECT, SCALE","In this process, manufacturing plants take raw materials, apply production techniques, and create finished products as outputs.",,,
gun-infested state,OBJECT,"CONTAINMENT, SUBSTANCE, OBJECT",mosquito-infested swamp,,,
I saw an opportunity for success and grabbed it.,OBJECT,"OBJECT, SOURCE_PATH_GOAL, CONTACT, FORCE",I saw a ball on the ground and picked it up.,,,
They just handed him the job.,OBJECT,"FORCE, OBJECT, TRANSFER, SOURCE_PATH_GOAL",They just handed him the package.,,,
"Fame and fortune were within my grasp, but once again they eluded me.",OBJECT,"CONTAINMENT, OBJECT, SOURCE_PATH_GOAL, FORCE","The ball was within my reach, but it rolled away from me.",,,
"If you have a chance at a promotion, go for it!",OBJECT,"SOURCE_PATH_GOAL, OBJECT, FORCE","If you see an open door, walk through it!",,,
"I kept getting close to a world championship, but it kept escaping me.",OBJECT,"SOURCE_PATH_GOAL, FORCE, OBJECT, CONTAINMENT","I kept approaching the finish line, but the runner ahead kept increasing their lead.",4,7,
"He almost got his hands on the Johnson ranch, but it slipped through his fingers.",OBJECT,"CONTAINMENT, CONTACT, FORCE, OBJECT","He almost grasped the ball, but it slipped through his fingers.",7,7,
She is pursuing an impossible dream.,OBJECT,"SOURCE_PATH_GOAL, FORCE, OBJECT",She is chasing a fast-moving animal.,7,7,
He has interesting pursuits.,OBJECT,"OBJECT, SOURCE_PATH_GOAL, CONTAINMENT",He has interesting hobbies.,4,7,
Latch onto a good job.,OBJECT,"LINK, CONTACT, FORCE, OBJECT",The hook latches onto the door frame.,7,7,
He finally managed to get a smile out of her.,OBJECT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",He finally managed to remove an object from a container.,7,7,
She landed four huge accounts this year.,OBJECT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT, SCALE",She acquired four large clients this year.,2,6,
A passerby ... quickly realized his distress.,OBJECT,"CONTACT, FORCE, CONTAINMENT",A person quickly saw the man's visible signs of distress.,5,6,
Cole’s friend shared a little of his distress over the death of Princess Diana.,OBJECT,"SUBSTANCE, PART-WHOLE, FORCE, LINK",Cole's friend gave a small portion of his food to others at the table.,7,7,
Our relationship is veering off-course.,OBJECT,"SOURCE_PATH_GOAL, FORCE, OBJECT",The car is veering off the road.,7,7,
There’s strong bond between them.,LINK,"LINK, FORCE, CONTACT",There's a strong rope connecting the two poles.,7,7,
having connections,LINK,"LINK, POSSESSION, OBJECT",having physical ropes,3,3,
breaking social ties,LINK,"SPLITTING, LINK, FORCE",cutting a rope,7,7,
the bonds of slavery,LINK,"LINK, FORCE, CONTAINMENT",The chains of the prisoner,7,7,
Apply more force to the edge of the lid.,FORCE,"FORCE, CONTACT, OBJECT, PART-WHOLE",Push harder on the side of the container cover.,7,7,it was not metaphorical
Direct more force at the hinges.,FORCE,"FORCE, SOURCE_PATH_GOAL, OBJECT",Apply more pressure to the door hinges.,7,7,it was not metaphorical
Focus force on the weak spots.,FORCE,"FORCE, SOURCE_PATH_GOAL, CONTACT, OBJECT",Direct the laser beam onto the thin areas of the metal.,6,5,the new one is more difficult
It took a lot of force to open it.,FORCE,"FORCE, OBJECT, SOURCE_PATH_GOAL",The door required significant physical effort to push open.,7,5,the new one is more difficult
Use more force in driving the nail.,FORCE,"FORCE, OBJECT, SOURCE_PATH_GOAL",Apply more pressure when hammering the nail into the wood.,7,7,it was not metaphorical
Exert more force on the lock.,FORCE,"FORCE, CONTACT, OBJECT",Push harder on the door.,7,7,
Put more force behind your punches.,FORCE,"FORCE, CONTAINMENT, OBJECT",Apply more pressure when pushing the door.,7,6,the new one is more difficult
Back up your punches with more force.,FORCE,"FORCE, SOURCE_PATH_GOAL, SUPPORT",Push the object with more strength.,7,7,
Put more force into your punches.,FORCE,"FORCE, CONTAINMENT, OBJECT",Apply more pressure when pushing the door.,7,7,
Put more force into your punches.,FORCE,"FORCE, CONTAINMENT, OBJECT",Apply more pressure when pushing the door.,7,7,
His punches carry a lot of force.,FORCE,"FORCE, SUBSTANCE, OBJECT",The truck carries a heavy load.,3,1,
Each sentence contained the force of an order.,FORCE,"CONTAINMENT, FORCE, SUBSTANCE",Each box contained a heavy object.,3,1,
His punches have a lot of force.,FORCE,"FORCE, SUBSTANCE, CONTAINMENT",The hammer strikes with a lot of force.,7,7,
His punches have a lot of force.,FORCE,"FORCE, SUBSTANCE, CONTAINMENT",The hammer strikes with a lot of force.,7,7,
Her death hit us with a lot of force.,FORCE,"FORCE, CONTACT, OBJECT",The hammer hit the nail with a lot of force.,7,7,
The force of the blow knocked me over.,FORCE,"FORCE, CONTACT, SOURCE_PATH_GOAL",The strong wind pushed the tree to the ground.,7,7,it was not metaphorical
The force added to the swing was enough to send the ball over the fence.,FORCE,"FORCE, SOURCE_PATH_GOAL, VERTICALITY, OBJECT",The push applied to the bat propelled the ball beyond the barrier.,7,6,it was not metaphorical
The trial thrust O.J.'s attorney's into the limelight.,FORCE,"FORCE, SOURCE_PATH_GOAL, CENTER-PERIPHERY",The machine pushed the objects into the bright spotlight.,7,7,
FDR's leadership brought the country out of the depression.,FORCE,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE",The guide led the hikers out of the cave.,7,2,annotazione originale non tanto sensata?
That experience pushed him over the edge,FORCE,"FORCE, SOURCE_PATH_GOAL, VERTICALITY, CONTAINMENT",The strong wind pushed the ball over the cliff's edge,7,7,
and she sat up to meet its thrusts,FORCE,"SOURCE_PATH_GOAL, FORCE, CONTACT, VERTICALITY",She stood up to catch the ball,7,4,
you’re always so battered by the world outside.,FORCE,"FORCE, CONTACT, CONTAINMENT, OBJECT",The boat is constantly battered by the waves outside the harbor.,7,6,
"as if in dread of being attacked, restless and keen",FORCE,"CONTAINMENT, FORCE, OBJECT","The animal is alert and vigilant, ready to flee from predators",4,2,
